latitude,longitude,predicted_risk
48.0394,14.4267,0.99827087
48.0394,14.4267,0.99827087
48.0394,14.4267,0.99827087
48.0394,14.4267,0.99827087
48.0394,14.4267,0.99827087
-15.2816,144.8387,0.9950659
-15.2816,144.8387,0.9950659
-16.179607,145.281892,0.95116335
-16.179607,145.281892,0.95116335
-16.179607,145.281892,0.95116335
-17.13336111,145.7645556,0.96956563
-17.13336111,145.7645556,0.96956563
-17.54563889,145.9325278,0.9968874
-17.54563889,145.9325278,0.9968874
-17.54563889,145.9325278,0.9968874
-18.1926,145.3321,0.8627392
-18.1926,145.3321,0.8627392
-18.1926,145.3321,0.8627392
-18.488994,145.936037,0.9796765
-18.488994,145.936037,0.9796765
-19.63313611,147.1102778,0.99371225
-19.63313611,147.1102778,0.99371225
-19.63313611,147.1102778,0.99371225
-21.27237,148.8203,0.7258761
-21.27237,148.8203,0.7258761
-21.27237,148.8203,0.7258761
-21.3228,148.8351167,0.98245484
-21.3228,148.8351167,0.98245484
-21.17712,148.83108,0.99643815
-21.17712,148.83108,0.99643815
-21.17712,148.83108,0.99643815
-22.03574,149.13149,0.9948666
-22.03574,149.13149,0.9948666
-22.17077778,148.3841667,0.99807537
-22.17077778,148.3841667,0.99807537
-22.17077778,148.3841667,0.99807537
-21.76938,148.78657,0.9634512
-21.76938,148.78657,0.9634512
-21.76938,148.78657,0.9634512
-23.98498333,151.0975639,0.99932563
-23.98498333,151.0975639,0.99932563
-23.98498333,151.0975639,0.99932563
-23.98498333,151.0975639,0.99932563
-23.98498333,151.0975639,0.99932563
-23.98498333,151.0975639,0.99932563
-25.71077157,151.8083241,0.9985777
-25.71077157,151.8083241,0.9985777
-25.71077157,151.8083241,0.9985777
-25.71077157,151.8083241,0.9985777
-25.71077157,151.8083241,0.9985777
-25.6814991,151.0076804,0.97700727
-25.6814991,151.0076804,0.97700727
-25.6814991,151.0076804,0.97700727
-25.6814991,151.0076804,0.97700727
-25.76832547,152.5273595,0.99920005
-25.76832547,152.5273595,0.99920005
-25.76832547,152.5273595,0.99920005
-25.76832547,152.5273595,0.99920005
-27.833618,152.987672,0.97780824
-27.833618,152.987672,0.97780824
-27.5336733,151.2032948,0.9988821
-27.5336733,151.2032948,0.9988821
-27.5336733,151.2032948,0.9988821
-27.5336733,151.2032948,0.9988821
-27.5336733,151.2032948,0.9988821
-27.5336733,151.2032948,0.9988821
-27.24815,145.9696833,0.99750584
-27.24815,145.9696833,0.99750584
-27.24815,145.9696833,0.99750584
-20.70123436,118.2986313,0.9939632
-20.70123436,118.2986313,0.9939632
-21.1926,119.7146,0.8856634
-21.1926,119.7146,0.8856634
-21.1926,119.7146,0.8856634
-18.01519219,126.3106156,0.9973423
-18.01519219,126.3106156,0.9973423
-18.01519219,126.3106156,0.9973423
-13.417588,142.920737,0.9985037
-13.417588,142.920737,0.9985037
-13.417588,142.920737,0.9985037
-9.4097,-72.7158,0.99545246
-9.4097,-72.7158,0.99545246
-9.4097,-72.7158,0.99545246
-11.0178,-68.745,0.9987165
-11.0178,-68.745,0.9987165
-11.0178,-68.745,0.9987165
-10.6514,-68.5061,0.998548
-10.6514,-68.5061,0.998548
-10.6514,-68.5061,0.998548
3.3783,-59.8156,0.9929905
3.3783,-59.8156,0.9929905
3.3783,-59.8156,0.9929905
4.1675,-60.5289,0.9982666
4.1675,-60.5289,0.9982666
4.1675,-60.5289,0.9982666
4.1675,-60.5289,0.9982666
-14.3692,-48.2033,0.9979831
-14.3692,-48.2033,0.9979831
-14.3692,-48.2033,0.9979831
-14.1836,-48.0903,0.99545985
-14.1836,-48.0903,0.99545985
-14.1836,-48.0903,0.99545985
-9.3114,-47.8133,0.99790823
-9.3114,-47.8133,0.99790823
-9.3114,-47.8133,0.99790823
-16.0778,-53.5475,0.99935716
-16.0778,-53.5475,0.99935716
-16.0778,-53.5475,0.99935716
-16.3025,-51.4692,0.9981178
-16.3025,-51.4692,0.9981178
-16.3025,-51.4692,0.9981178
-16.3025,-51.4692,0.9981178
-15.9397,-51.3575,0.99567753
-15.9397,-51.3575,0.99567753
-9.4672,-35.8597,0.99796826
-9.4672,-35.8597,0.99796826
-9.4672,-35.8597,0.99796826
-9.4672,-35.8597,0.99796826
-18.6769,-45.5658,0.8799724
-18.6769,-45.5658,0.8799724
-18.6769,-45.5658,0.8799724
-18.4031,-45.7344,0.99504685
-18.4031,-45.7344,0.99504685
-18.4031,-45.7344,0.99504685
-18.1089,-45.4619,0.9964676
-18.1089,-45.4619,0.9964676
-18.1089,-45.4619,0.9964676
-19.5597,-43.9111,0.8618412
-19.5597,-43.9111,0.8618412
-19.5597,-43.9111,0.8618412
-19.5597,-43.9111,0.8618412
-19.5597,-43.9111,0.8618412
-18.645,-44.0506,0.9949202
-18.645,-44.0506,0.9949202
-18.645,-44.0506,0.9949202
-17.1211,-45.4356,0.94855213
-17.1211,-45.4356,0.94855213
-17.1211,-45.4356,0.94855213
-17.1211,-45.4356,0.94855213
-16.4289,-45.7403,0.997474
-16.4289,-45.7403,0.997474
-16.4289,-45.7403,0.997474
-14.6333,-39.2,0.9747185
-14.6333,-39.2,0.9747185
-14.6333,-39.2,0.9747185
-14.8444,-39.3311,0.9990427
-14.8444,-39.3311,0.9990427
-14.8444,-39.3311,0.9990427
-14.8444,-39.3311,0.9990427
-14.815,-39.2961,0.99916184
-14.815,-39.2961,0.99916184
-14.815,-39.2961,0.99916184
-17.3167,-43.2,0.9988669
-17.3167,-43.2,0.9988669
-17.3128,-43.2078,0.9988669
-17.3128,-43.2078,0.9988669
-17.3128,-43.2078,0.9988669
-16.95,-42.5,0.9990275
-16.95,-42.5,0.9990275
-16.95,-42.5,0.9990275
-20.3839,-42.9028,0.87458915
-20.3839,-42.9028,0.87458915
-20.3839,-42.9028,0.87458915
-20.3839,-42.9028,0.87458915
-19.9944,-42.6744,0.9939851
-19.9944,-42.6744,0.9939851
-19.9944,-42.6744,0.9939851
-19.65,-42.8667,0.99298084
-19.2322,-43.02,0.9991196
-19.2322,-43.02,0.9991196
-19.2322,-43.02,0.9991196
-19.2322,-43.02,0.9991196
-19.2322,-43.02,0.9991196
-19.7431,-41.7853,0.75824016
-19.7431,-41.7853,0.75824016
-19.7431,-41.7853,0.75824016
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.5422,-42.1806,0.9987153
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-21.1425,-44.7397,0.83897734
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.0858,-50.2853,0.9944581
-23.4,-50.45,0.72503316
-23.4,-50.45,0.72503316
-23.4,-50.45,0.72503316
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.51,-50.41,0.9986596
-24.83,-51.1422,0.99896884
-24.83,-51.1422,0.99896884
-24.83,-51.1422,0.99896884
-24.83,-51.1422,0.99896884
-24.83,-51.1422,0.99896884
-24.83,-51.1422,0.99896884
-24.3444,-51.4239,0.9989502
-24.3444,-51.4239,0.9989502
-24.3444,-51.4239,0.9989502
-24.3444,-51.4239,0.9989502
-24.1058,-51.4822,0.9845264
-24.1058,-51.4822,0.9845264
-24.1058,-51.4822,0.9845264
-24.1058,-51.4822,0.9845264
-24.0167,-51.95,0.9964736
-24.0167,-51.95,0.9964736
-24.0167,-51.95,0.9964736
-24.0167,-51.95,0.9964736
-24.9472,-52.5978,0.99880433
-24.9472,-52.5978,0.99880433
-24.9472,-52.5978,0.99880433
-24.8661,-52.7628,0.9995882
-24.8661,-52.7628,0.9995882
-24.8661,-52.7628,0.9995882
-24.8661,-52.7628,0.9995882
-24.7831,-52.2331,0.9950105
-24.7831,-52.2331,0.9950105
-24.7831,-52.2331,0.9950105
-24.7486,-52.7028,0.99893636
-24.7486,-52.7028,0.99893636
-24.7486,-52.7028,0.99893636
-24.7486,-52.7028,0.99893636
-24.7486,-52.7028,0.99893636
-24.7519,-52.8767,0.9997671
-24.7519,-52.8767,0.9997671
-24.7519,-52.8767,0.9997671
-25.5986,-49.2592,0.9948249
-25.5986,-49.2592,0.9948249
-25.5986,-49.2592,0.9948249
-25.6136,-49.3567,0.9914072
-25.6136,-49.3567,0.9914072
-25.6136,-49.3567,0.9914072
-25.5797,-49.5831,0.9973973
-25.5797,-49.5831,0.9973973
-25.5797,-49.5831,0.9973973
-25.5797,-49.5831,0.9973973
-25.4653,-49.7669,0.9954596
-25.4653,-49.7669,0.9954596
-25.5339,-51.8156,0.8354767
-25.5339,-51.8156,0.8354767
-25.6381,-51.9672,0.9494044
-25.6381,-51.9672,0.9494044
-25.6381,-51.9672,0.9494044
-25.6381,-51.9672,0.9494044
-25.6381,-51.9672,0.9494044
-25.6381,-51.9672,0.9494044
-26.0294,-52.6283,0.9965969
-26.0294,-52.6283,0.9965969
-26.0294,-52.6283,0.9965969
-26.1525,-53.02,0.9798609
-26.1525,-53.02,0.9798609
-26.1525,-53.02,0.9798609
-26.1525,-53.02,0.9798609
-25.7739,-52.9328,0.999778
-25.7739,-52.9328,0.999778
-25.7739,-52.9328,0.999778
-25.7739,-52.9328,0.999778
-25.7739,-52.9328,0.999778
-25.4331,-53.5167,0.98389935
-25.4331,-53.5167,0.98389935
-25.4331,-53.5167,0.98389935
-14.6536,-56.1322,0.9184132
-14.6536,-56.1322,0.9184132
-14.6536,-56.1322,0.9184132
-14.6536,-56.1322,0.9184132
-28.4394,-50.3019,0.99809855
-28.4394,-50.3019,0.99809855
-28.4394,-50.3019,0.99809855
-28.4394,-50.3019,0.99809855
-28.2108,-50.7586,0.99903464
-28.2108,-50.7586,0.99903464
-28.2108,-50.7586,0.99903464
-28.2108,-50.7586,0.99903464
-28.2108,-50.7586,0.99903464
-28.2108,-50.7586,0.99903464
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.3339,-50.7539,0.99917406
-27.5378,-50.8522,0.9995426
-27.5378,-50.8522,0.9995426
-27.5378,-50.8522,0.9995426
-27.5378,-50.8522,0.9995426
-27.5378,-50.8522,0.9995426
-27.5378,-50.8522,0.9995426
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.5619,-51.8578,0.9988605
-27.0881,-51.2581,0.99678564
-27.0881,-51.2581,0.99678564
-27.0881,-51.2581,0.99678564
-27.4461,-51.8611,0.9982552
-27.4461,-51.8611,0.9982552
-27.4461,-51.8611,0.9982552
-27.4461,-51.8611,0.9982552
-27.4461,-51.8611,0.9982552
-27.4461,-51.8611,0.9982552
-27.7992,-53.0561,0.99311924
-27.7992,-53.0561,0.99311924
-27.7992,-53.0561,0.99311924
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.2786,-53.3203,0.9988606
-27.3328,-53.6414,0.9865117
-27.3328,-53.6414,0.9865117
-27.3328,-53.6414,0.9865117
-27.3328,-53.6414,0.9865117
-27.3328,-53.6414,0.9865117
-27.5219,-54.2322,0.8724666
-27.5219,-54.2322,0.8724666
-27.5219,-54.2322,0.8724666
-27.5219,-54.2322,0.8724666
-27.5219,-54.2322,0.8724666
-27.5219,-54.2322,0.8724666
-28.3553,-54.2683,0.998511
